ts,label,git,ncpu,mem_gb,scene,frames,iters,max_res,peak_rss_mb,elapsed_s,steps_per_sec,psnr,ssim,splats
2026-06-25 00:49:25 EAT,baseline-truck,37d6769,10,16,datasets/tandt/truck,2,1000,800,449.5,30,33.3,22.167444,0.82985777,145147
2026-06-25 00:49:55 EAT,baseline-truck,37d6769,10,16,datasets/tandt/truck,4,1000,800,387.3,26,38.5,24.963858,0.8780409,147014
2026-06-25 00:50:21 EAT,baseline-truck,37d6769,10,16,datasets/tandt/truck,8,1000,800,457.3,26,38.5,25.778105,0.8895212,149702
2026-06-25 00:50:47 EAT,baseline-truck,37d6769,10,16,datasets/tandt/truck,16,1000,800,469.4,26,38.5,24.787502,0.8617457,160352
2026-06-25 00:51:13 EAT,baseline-truck,37d6769,10,16,datasets/tandt/truck,32,1000,800,517.0,25,40.0,23.410583,0.8277927,173488
2026-06-25 00:51:38 EAT,baseline-truck,37d6769,10,16,datasets/tandt/truck,64,1000,800,601.4,27,37.0,23.095974,0.8201971,184728
2026-06-25 01:21:35 EAT,baseline-truck-5k,37d6769,10,16,datasets/tandt/truck,64,5000,800,847.0,NA,NA,25.32451,0.89443123,566315
2026-06-25 01:27:14 EAT,subslices,37d6769,10,16,datasets/tandt/truck,2,1000,800,445.2,28,35.7,21.935213,0.82975584,145047
2026-06-25 01:27:42 EAT,subslices,37d6769,10,16,datasets/tandt/truck,8,1000,800,463.2,27,37.0,25.67994,0.8874899,149453
2026-06-25 01:28:09 EAT,subslices,37d6769,10,16,datasets/tandt/truck,16,1000,800,419.1,37,27.0,24.940136,0.86375415,160339
2026-06-25 01:28:46 EAT,subslices,37d6769,10,16,datasets/tandt/truck,32,1000,800,544.4,46,21.7,23.196709,0.825593,173326
2026-06-25 01:29:32 EAT,subslices,37d6769,10,16,datasets/tandt/truck,64,1000,800,601.7,28,35.7,23.018078,0.8197447,184692
2026-06-25 01:30:00 EAT,subslices-5k,37d6769,10,16,datasets/tandt/truck,64,5000,800,829.9,238,21.0,25.318594,0.8947242,563995
2026-06-25 02:00:18 EAT,shwarmup-5k,37d6769,10,16,datasets/tandt/truck,64,5000,800,936.3,247,20.2,25.21445,0.89346576,576255
2026-06-25 02:15:00 EAT,cfg-sh-degree-2,37d6769,10,16,datasets/tandt/truck,64,5000,800,572.0,307,16.3,25.119968,0.89323986,563505
2026-06-25 02:20:00 EAT,cfg-sh-degree-1,37d6769,10,16,datasets/tandt/truck,64,5000,800,511.0,255,19.6,25.204906,0.8920814,565617
2026-06-25 02:24:00 EAT,cfg-max-splats-300k,37d6769,10,16,datasets/tandt/truck,64,5000,800,488.0,208,24.1,25.17495,0.88274926,300000
2026-06-25 02:28:00 EAT,cfg-growth-frac-0.1,37d6769,10,16,datasets/tandt/truck,64,5000,800,589.0,231,21.6,24.95242,0.88431907,311460
2026-06-25 02:42:10 EAT,noiseband-r1,37d6769,10,16,datasets/tandt/truck,16,1000,800,457.6,26,38.5,24.783678,0.8628932,160185
2026-06-25 02:42:37 EAT,noiseband-r2,37d6769,10,16,datasets/tandt/truck,16,1000,800,427.7,26,38.5,24.630339,0.8610976,160180
2026-06-25 02:43:04 EAT,noiseband-r3,37d6769,10,16,datasets/tandt/truck,16,1000,800,454.7,26,38.5,24.772789,0.8630756,160303
2026-06-25 03:55:00 EAT,train-sh3-specular,37d6769,10,16,datasets/tandt/train,64,5000,800,1170.0,NA,NA,25.436693,0.8991282,671720
2026-06-25 03:58:00 EAT,train-sh2-specular,37d6769,10,16,datasets/tandt/train,64,5000,800,932.0,NA,NA,25.07071,0.89778024,671837
2026-06-25 04:01:00 EAT,train-sh1-specular,37d6769,10,16,datasets/tandt/train,64,5000,800,834.0,NA,NA,25.183409,0.8954477,674659
